aluminium	ammonia	arsenic	barium	cadmium	chloramine	chromium	copper	fluoride	bacteria	viruses	lead	nitrates	nitrites	mercury	perchlorate	radium	selenium	silver	uranium	is_safe
4.41	29.4	0.49	4.25	0.01	1.65	0.88	1.19	0.38	0.84	0.84	0.064	8.12	1.16	0.005	7.1	3.72	0.07	0.42	0.06	0
0.2	1.28	0.74	3.59	0.04	2.76	0.39	1.26	0.13	0	0.93	0.165	4.86	1.19	0	19.7	0.16	0.07	0.27	0.01	0
3.06	1.84	0.35	1.16	0.06	4.83	0.04	0.65	0.2	0	0.005	0.013	17.09	1.92	0.003	24.79	3.1	0.01	0.01	0.01	1
0.01	26.45	0.07	1.27	0.08	0.06	0.08	1.71	0.8	0.13	0.009	0.176	16.11	1.19	0.006	0.27	0.12	0.01	0	0.01	0
0.04	7.97	0.06	0.8	0.07	0.16	0.08	1.28	0.32	0	0.53	0.175	1.42	0.35	0.007	3.32	3.85	0.01	0.1	0.02	0
0.03	16.08	0.08	0.38	0.06	0.15	0.09	0.04	0.47	0	0.009	0.087	0.26	0.3	0.006	2.43	1.31	0.02	0.01	0.06	1
0.01	3.17	0.08	0.91	0.02	0.02	0	0.02	0.86	0	0.87	0.019	16.16	0.62	0.007	6.1	0.02	0.01	0.02	0.08	0
0.04	0.67	0.08	0.39	0.05	0.07	0.07	0.01	1.41	0.34	0	0.05	8.76	1.32	0.003	4.38	0.63	0.03	0.09	0.04	0
0.01	4.66	0.09	2.59	0.06	0.01	0.09	1.5	0.68	0.8	0.8	0.193	10.68	1.86	0.006	6.4	1.31	0.1	0.07	0.04	0
0.3	17.76	0.81	0.83	0.02	4.92	0.67	1.67	0.02	0.1	0.007	0.028	14.14	1.84	0.009	1.24	6.21	0.06	0.21	0.03	0
0.03	7.89	0.05	1.96	0.03	0.07	0	0.7	0.8	0.97	0.97	0.1	19.24	2.65	0.001	0.48	0.95	0.05	0.02	0	0
0.07	16.67	0.04	1.35	0.03	0.09	0.06	0.54	1.41	0.99	0.99	0.113	9.63	0.2	0.004	3.18	0.29	0.04	0.03	0.06	0
1.26	11.54	0.59	3	0.12	6.92	0.09	1.18	0.88	0	0	0.032	3.75	1.82	0.003	52.74	7.46	0.06	0.03	0.07	0
0.09	0.95	0.03	1.64	0.02	0.15	0.07	1.92	1.2	0	0.003	0.082	18.94	0.49	0.008	5.17	0.67	0.02	0.08	0.08	0
3.52	8.51	0.84	4.1	0.06	3.33	0.69	1.66	1.1	0.29	0	0.113	0.63	2.01	0.004	32.46	1.97	0.07	0.25	0.01	0
0.09	23.24	0.001	3.26	0.003	1.13	0.41	1.58	0.57	0.6	0.6	0.146	0.14	1.58	0.01	55.81	5.32	0.07	0.39	0.03	0
0.08	9.06	0	0.64	0.09	0.09	0.05	1.7	0.29	0.78	0.78	0.185	12.75	1.66	0.006	1.68	0.81	0.03	0.04	0.04	0
0.01	18.48	0.08	0.21	0.06	0.19	0.06	0.73	0.82	0	0.7	0.122	2.99	0.28	0.007	4.65	1.74	0.1	0.08	0.04	0
0.06	27.21	0.03	0.56	0.04	0.02	0.09	1.99	0.22	0.25	0.008	0.085	3.29	1.88	0.008	0.39	0.11	0.09	0.07	0.03	0
0.03	24.71	0.08	0.1	0	0.09	0.08	0.23	0.31	0.43	0	0.102	1.23	1.5	0.001	5.24	0.96	0.02	0.02	0.03	0
0.05	0.76	0.05	0.52	0.08	0.12	0.04	0.04	0.91	0	0	0.041	14.24	1.52	0.005	0.18	6.38	0.02	0.07	0.07	0
0.02	13.86	0.04	0.86	0.1	0.09	0.09	1.6	0.15	0	0.91	0.01	14.63	0.56	0.006	6.23	0.11	0.04	0.09	0	0
2.64	18.44	0.01	0.19	0.005	4.86	0.35	1.98	0.99	0.41	0	0.099	10.2	1.69	0.001	5.91	4.49	0.06	0.18	0.08	1
3.51	26.82	0.05	1.74	0.003	3.11	0.83	0.84	0.33	0	0	0.048	12.51	1.67	0.006	23.36	3.93	0.06	0.41	0.08	0
0.06	24.1	0.04	3.47	0.004	6.44	0.88	1.81	0	0	0.003	0.12	1.8	1.34	0.008	58.15	0.27	0.03	0.46	0.01	0
0.01	2.05	0.05	2.76	0.008	0.83	0.54	0.28	0.93	0.82	0.82	0.175	17.17	1.58	0.003	46	4.85	0.01	0.27	0.02	0
0	25.99	0.01	3.06	0.002	3.36	0.63	1.26	0.34	0.94	0.94	0.093	7.6	1.72	0.007	31.21	5.12	0.05	0.12	0.04	0
0.18	9.96	0.29	0.92	0.05	6.72	0.19	0.03	1.35	1	1	0.158	0.91	1.47	0.009	21.08	4.71	0.01	0.22	0.07	0
0.07	13.74	0.09	0.33	0.1	0.13	0.02	1.21	1.09	0.77	0.77	0.158	1.67	1.03	0.004	0.05	0.4	0.05	0.07	0.08	0
0.06	15.5	0.03	0.8	0.03	0.04	0.03	0.09	0.74	0	0.001	0.072	13.2	0.62	0.005	3.27	2.04	0.09	0.01	0.08	0
0.1	0.83	0.08	2.85	0.07	0.46	0.06	0.01	0.11	0	0	0.058	8.99	1	0.001	0.82	7.51	0	0.05	0.09	0
0.06	22.14	0.04	0.38	0.05	0.26	0.04	0.04	0.66	0	0.58	0.071	13.52	0.08	0.008	7.06	0.51	0.05	0.04	0.06	0
0.09	20.45	0.08	1.2	0.04	0.04	0.08	1.16	0.4	0.25	0.002	0.09	5.38	1.72	0.01	0.18	0.93	0.1	0.04	0.04	0
0.17	1.54	0.01	3.25	0.002	4.24	0.45	1.13	1.05	0.97	0.97	0.007	5.79	1.3	0.006	25.84	6.28	0.01	0.42	0.08	0
2.61	1.26	0.53	4.05	0.06	3.69	0.03	1.39	1.12	0	0	0.108	10.02	1.61	0.009	49.87	4.39	0.02	0.11	0.07	0
2.01	15.1	0.01	2.17	0.006	6.42	0.33	0.16	1.01	0.76	0.76	0.168	17.85	1.01	0.009	3.17	5.31	0.07	0.32	0	1
0.09	0.53	0.08	0.69	0.08	0.02	0.02	0.07	0.56	0	0.94	0.006	15.78	0.29	0.009	0.64	3.94	0.01	0.05	0.01	0
0.08	6.07	0.01	1.53	0.08	0.61	0.07	0.3	1.02	0.88	0.88	0.032	10.94	1.64	0.004	2.47	0.09	0.07	0.1	0.02	0
0.01	10.61	0.03	0.6	0.01	0.22	0.01	0.01	0.21	0	0	0.097	18.39	1.77	0.009	2.39	3.17	0.05	0.09	0.05	0
0.07	7.65	0.03	0.6	0.01	0.43	0.03	0.87	1.39	0.35	0.001	0.02	10.63	1.77	0.003	6.06	1.29	0.08	0.04	0.07	0
0.2	2.6	0.03	1.75	0.007	4.86	0.66	0.86	0.11	0.85	0.85	0.101	6.48	1.06	0.008	17.68	5.59	0.04	0.45	0.06	0
4.41	28.7	0.04	1.43	0.002	5.71	0.03	1.93	0.43	0	0	0.18	9.98	1.48	0.009	48.29	3.63	0.02	0.12	0.01	0
0.05	0.34	0.03	0.91	0.07	0.1	0.1	0.03	1.23	0	0	0.048	10.87	1.59	0.002	0.64	1.76	0.1	0.01	0.01	0
0.04	5.47	0.07	1.3	0.01	0.35	0.08	0.47	0.89	0.78	0.78	0.038	2.47	0.79	0.009	0.06	0.14	0.02	0.08	0.06	0
3.5	24.52	0.98	2.4	0.12	1.92	0.79	1.92	1.42	0.67	0.67	0.194	0.96	1.58	0.004	31.11	2.94	0.01	0.14	0.09	0
2.06	3.33	0.73	2.04	0.05	4.65	0.52	1.83	1.3	0	0.003	0.129	7.79	1.15	0.007	35.58	5.13	0.07	0.44	0.08	0
0.09	2.66	0.01	1.29	0.007	4.11	0.28	1.77	0.06	0.75	0.75	0.098	0.75	1.99	0.009	20.55	0.75	0.04	0.1	0.05	0
0.06	19.9	0.01	1.65	0.09	0.12	0	0.07	0.53	0.02	0.001	0.028	11.24	1.53	0.008	5.45	0.88	0.06	0.04	0.06	0
2.64	6.52	0.04	3.93	0.002	6.6	0.72	0.04	1.37	0	0	0.032	4.38	1.48	0.007	33.77	1.16	0.07	0.01	0	1
0.02	14.95	0.08	1.77	0.09	0.13	0	0.08	1.01	0	0.76	0.168	17.85	0.94	0.009	0.48	1.77	0.07	0.03	0	0
0.09	25.04	0	2.49	0.07	0.04	0.08	1.27	1.25	0.75	0.75	0.076	8.03	0.35	0.008	2.97	1.27	0.01	0.03	0.08	0
0.13	28.79	1.03	2.92	0.05	7.83	0.06	0.66	0.03	0.62	0.62	0.024	2.4	1.57	0.01	7.7	5.82	0.02	0.17	0.03	0
0.04	10.59	0.14	1.57	0.08	5.27	0.76	0.09	0.89	0.21	0.002	0.001	16.35	1.28	0.004	9.06	0.38	0.01	0.22	0.03	0
0.31	9.66	0.03	2.27	0.001	6.54	0.47	1.37	0.71	0.99	0.99	0.112	11.47	1.33	0.001	37.2	1.73	0	0.24	0.06	0
0.01	13.48	0.07	0.66	0.06	0.01	0.01	1.38	0.11	0.67	0.67	0.135	9.75	0.99	0.006	3.7	2.39	0.08	0.09	0.02	0
4.45	7.48	0.03	0.83	0.004	3.03	0.36	0.55	1.14	0	0	0.18	15.86	1.83	0.01	48.83	7.79	0.08	0.13	0.01	0
0.03	14.68	0.35	1.33	0.03	8.68	0.88	0.08	0.38	0.04	0.007	0.166	1.05	1.81	0.01	55.9	2.6	0.09	0.44	0.01	0
0.08	4.3	0.08	1.98	0.01	0.05	0	0.04	1.3	0.03	0.007	0.11	1.14	1.16	0.008	0.05	0.68	0.07	0.09	0.04	0
2.29	13.29	0.02	3.74	0.003	7.15	0.13	1.42	0.7	0	0	0.053	14.45	1.41	0.008	14.45	1.72	0.1	0.03	0.06	1
1.37	17.56	0.93	0.6	0.04	8	0.03	0.57	1.44	0	0	0.092	8.05	2.01	0.009	46.27	2.68	0.02	0.3	0.07	0
3.79	5.45	0.02	2.79	0.008	5.64	0.29	0.67	0.25	0	0	0.169	6.98	1.39	0.001	41.33	3.08	0.06	0.49	0.02	1
0.09	26.99	0.52	2.89	0.12	4.63	0.63	0.05	1.13	0.81	0.81	0.017	2.08	2.26	0.008	12.94	3.14	0.03	0.18	0.05	0
0.02	24.93	0.01	3.18	0.001	5.04	0.28	0.13	0.84	0.65	0.65	0.168	18.82	1	0	51	6.42	0.05	0.12	0	0
0.21	9.39	0.07	4.6	0.11	2.38	0.9	0.22	0.68	0.63	0.63	0.162	11.84	2.34	0.005	43.55	6.14	0.09	0.44	0.06	0
0.1	10.49	0.7	1.39	0.02	2.63	0.26	1.55	1.09	0.72	0.72	0.137	13.96	1.61	0.001	3.91	7.4	0.09	0.37	0.03	0
0.09	14.96	0.09	0.01	0.02	0.04	0.06	0.09	0.47	0	0	0.087	0.81	1.64	0.006	8.35	3.02	0.02	0	0.06	0
0.03	14.89	0.07	1.85	0.04	0.05	0.03	0.93	0.85	0	0	0.167	15.89	1.33	0.01	3.48	0.13	0.07	0.06	0	0
0.07	22.51	0.04	2.97	0.007	6.57	0.41	1.44	0.58	0.96	0.96	0.191	9.99	1.9	0.008	48.08	6.53	0.02	0.21	0.08	0
0.02	4.87	0.06	0.93	0.06	0.49	0.04	0.09	0.82	0.01	0.007	0.145	7.01	0.93	0.003	0.18	2.47	0.02	0.09	0.07	0
0.01	20.68	0.01	0.8	0.07	0.1	0.1	0.07	0.1	0	0.84	0.139	15.88	0.44	0.001	5.39	3.22	0.08	0.07	0.07	0
0.06	26.5	0	0.3	0.05	0.08	0.09	0.91	0.42	0	0.006	0.107	14.16	0.69	0.009	5.21	0.82	0.04	0.03	0	0
4.4	23.78	0.24	4.36	0.12	3.58	0.84	1	1.38	0	0.68	0.198	16.48	1.37	0.008	36.77	4.54	0.06	0.09	0.07	0
0	17.55	0.02	0.16	0.09	0.06	0.01	0.72	1.32	0.99	0.99	0.087	2.5	1.44	0.003	0.24	0.68	0.08	0.02	0.03	0
0.05	22.57	0.04	0.39	0.07	0.54	0.08	0.28	0.28	0.19	0	0.137	18.51	1.36	0.009	4.03	0.44	0.1	0	0.02	0
0.1	6.63	0	0.37	0.05	0.1	0.07	0.28	1.16	0	0	0.005	11.32	1.29	0.005	1.47	0.75	0.09	0.07	0.08	0
0.06	19.35	0.61	3.33	0.02	0.11	0.19	0.36	1.39	0.8	0.8	0.116	3.27	1.78	0.001	1.38	7.85	0.06	0.05	0.08	0
0.02	10.4	0.04	0.45	0.08	0.15	0.04	0.07	1.33	0	0	0.004	18.37	2.07	0.001	2.1	5.77	0.08	0.06	0.04	0
0.09	27.45	0.03	0.74	0.002	7.07	0.52	1.69	0.96	0.25	0.001	0.021	14.05	1.27	0.005	7.96	2.36	0.01	0.43	0.01	0
0.09	5.12	0.01	0.22	0.09	0.07	0.08	0.58	0.62	0.36	0.005	0.006	10.41	0.06	0.003	4.81	5.94	0.02	0.08	0.03	0
0.1	14.34	0.06	0.58	0.06	0.28	0.06	0.08	0.69	0.22	0	0.054	11.32	1.32	0.007	0.22	6.7	0.09	0.06	0.04	0
0.06	17.6	0.01	0.24	0.1	0.26	0.07	1.6	0.52	0.51	0.51	0.125	9.29	1.43	0.002	0.81	0.85	0.04	0	0.01	0
0.06	22.85	0.08	0.44	0	0.07	0.05	1.56	1.07	0.19	0	0.103	2.73	0.06	0.008	7.69	0.42	0.03	0.07	0	0
0.09	29.13	0.01	0.26	0.03	0.07	0.06	0.09	0.63	0	0.99	0.005	14.86	0.63	0.01	3.11	1.28	0	0.04	0.06	0
0.07	17.31	0.09	1.02	0.03	0.03	0	0.66	0.04	0	0.002	0.028	8.29	0.55	0.002	0.02	0.83	0	0.06	0.02	0
0.05	11.45	0.04	1.17	0.05	0.76	0.02	0.58	1.07	0.52	0.52	0.103	16.4	2.03	0.005	0.14	4.93	0.01	0.02	0	0
0.04	0.77	0.05	0.99	0.03	0.03	0.02	0.02	0.47	0.28	0.005	0.141	6.19	1.97	0.007	2.73	1.49	0.01	0.1	0.09	0
0.07	23.94	0.09	0.69	0.03	0.41	0.03	1.67	0.5	0.89	0.89	0.062	7.64	0.75	0.007	7.36	1.78	0.1	0.08	0.04	0
1.82	10.35	0.32	2.22	0.09	6.28	0.65	1.05	0.96	0	0.008	0.049	1.9	1.9	0.001	55.24	1.86	0.01	0.07	0.05	0
0.09	16.07	0.04	0.93	0.03	0.01	0.05	0.06	0.48	0	0.93	0.142	0.49	0.1	0.009	0.1	0.29	0.05	0.02	0.04	0
1.08	14.67	0.02	0.35	0.001	2.41	0.54	1.28	0.87	0.9	0.9	0.024	13.82	1.29	0.008	7.3	2.55	0.06	0.17	0.02	1
0.08	23.82	0.08	0.36	0.05	0.1	0.09	1.14	1.16	0.85	0.85	0.114	0.94	0.45	0.005	3.59	0.05	0.05	0.05	0.06	0
0.05	28.63	0.08	0.16	0.05	0.38	0.09	0.72	0.53	0.35	0.007	0.03	6.98	1.8	0.009	0.14	0.49	0.01	0.08	0.09	0
0	22	0.04	0.1	0.04	0.38	0.08	0.09	0.95	0	0.004	0.011	12.18	0.76	0.006	6.1	2.04	0.03	0.02	0.05	0
0.21	22.21	0.02	2.07	0.001	0.4	0.21	1.32	1.23	0.56	0.56	0.049	18.67	1.78	0.007	4.51	0.51	0.06	0.2	0	0
0.54	15.3	0.02	1.01	0.001	6.21	0.79	1.76	0.83	0.21	0.002	0.03	7.48	1.52	0.005	7.51	0.63	0.07	0.13	0.08	1
4.03	11.04	0.07	0.98	0.06	7.4	0.07	1.13	0.24	0	0.59	0.051	5.82	1.5	0.004	8.76	5.22	0	0.21	0.08	0
0.09	26.89	0.04	0.39	0.1	0.65	0.1	1.23	0.84	0.33	0.005	0.063	10.96	1.39	0.001	0.39	0.44	0.05	0.06	0.05	0
0.03	16.23	0.01	1.78	0.003	2.01	0.51	0.46	0.74	0.48	0.001	0.072	13.2	1.24	0.005	31.59	4.31	0.09	0.28	0.08	0
4.02	7.37	0.26	2.69	0.08	4.12	0.43	1.22	0.33	0	0.001	0.151	1.88	2.07	0	42.99	2.61	0.1	0.38	0.02	0
0.15	4.36	0.02	0.41	0.007	7.78	0.61	1.95	1.29	0.05	0.002	0.088	16.67	1.11	0.004	23.26	6.74	0.09	0.06	0.05	0
0.09	4.13	0	0.97	0.06	0.07	0.01	1.28	0.99	0.42	0.002	0.165	4.21	0.73	0.005	0.11	3.82	0.02	0.07	0.06	0
0.05	25.43	0.29	1.09	0.05	7.02	0.61	1.67	1.19	0.86	0.86	0.132	1.28	1.47	0.009	0.59	3.12	0.09	0.05	0.03	0
0.02	22.94	0.03	0.47	0.09	0.05	0.06	0.05	1.26	0	0.007	0.152	3.95	0.58	0.01	4.73	0.92	0.06	0.04	0.06	0
0.06	13.1	0.47	3.58	0.05	3.18	0.37	0.51	1.49	0.24	0.003	0.02	4.43	2.13	0.008	59.33	5.55	0.04	0.08	0.07	0
0.09	13.98	0.09	0.77	0.08	0.05	0.06	0.82	1.16	0.29	0.005	0.198	7.68	1.73	0.01	6.28	4.67	0.06	0.01	0.04	0
0.05	23.58	0.05	0.11	0.05	0.06	0.08	1.14	1.16	0.85	0.85	0.114	0.74	1.43	0.005	2.63	3.75	0.05	0.07	0.06	0
0.07	4.33	0.03	0.64	0.05	0.45	0.04	0.36	0.45	0.79	0.79	0.198	7.33	1.73	0.008	2.52	0.04	0	0.01	0.06	0
0.76	9.8	1.03	1.84	0.06	4.15	0.69	0.32	0.66	0	0.006	0.123	2.47	2.09	0.002	43.67	0.66	0.04	0.05	0.03	1
0.03	0.23	0.08	0.08	0.02	0.03	0.05	1.26	0.13	0	0	0.165	4.27	1.9	0	3.56	0.42	0.07	0.04	0.01	0
0.1	15.57	0.32	2.98	0.03	0.86	0.39	0.76	0.24	0.28	0.007	0.027	4.16	1.86	0.001	26.04	3.75	0.07	0.02	0.06	0
0.04	12.29	0.01	0.48	0	0.24	0.09	0.03	0.68	0	0.006	0.053	17.71	0.27	0.008	6.73	2.5	0.1	0.05	0.04	0
0.3	0.44	0.001	2.5	0.007	6.11	0.35	1.79	0.89	0.67	0.67	0.136	14.27	1.73	0.006	16.99	4.12	0.09	0.42	0.01	1
0.02	22.24	0.28	0.61	0.03	6.46	0.55	0.68	1.2	0.26	0.006	0.155	15.77	1.29	0.009	7.29	7.81	0.05	0.06	0	0
0.06	22.03	0.78	2.31	0.12	5.26	0.68	0.34	0.12	0.74	0.74	0.135	12.77	1.2	0.002	8.67	2.38	0.06	0.19	0.04	0
0.07	1.23	0.04	3.9	0.006	2.29	0.88	0.49	1.15	0.7	0.7	0.081	9.24	1.67	0.004	40.75	6.72	0.07	0.42	0.07	0
0.06	3.62	0.01	0.18	0.09	0.02	0.05	0.05	0.07	0	0.79	0.164	0.65	0.66	0.01	7.29	0.78	0.06	0.03	0.04	0
0.1	22.8	0.001	2.01	0.002	5.87	0.78	1.53	0.87	0.13	0.008	0.079	8.64	1.19	0.007	24.61	7.77	0.06	0.11	0.05	0
0.05	7.99	0.04	2.45	0.1	0.22	0.04	0.27	0.41	0	0	0.067	19.82	1.93	0.001	0.07	0.76	0.04	0.06	0.07	0
2.96	12.45	0.53	2.4	0.04	3.24	0.05	0.11	0.11	0.41	0	0.003	1.84	1.45	0.004	36.79	0.16	0.05	0.17	0.09	0
0.1	0.51	0.09	0.34	0.07	0.04	0.08	1.94	1.49	0.15	0.001	0.114	10.9	0.73	0.007	2.04	0.45	0.04	0.05	0.09	0
4.32	8.3	0.34	2.6	0.07	5.21	0.2	0.37	0.36	0	0.002	0.06	0.44	1.69	0.003	14.35	0.6	0.04	0.31	0.06	0
4.12	17.99	0.02	3.43	0.006	0.01	0.41	1.82	0.22	0.99	0.99	0.108	8.06	1.76	0.005	24.29	0.88	0.1	0.1	0.07	1
0.02	12.37	0.03	2.52	0.001	4.91	0.66	1.5	0.68	0.8	0.8	0.193	10.2	1.72	0.006	11.36	7.67	0.1	0.39	0.04	0
2.79	29.26	0.01	3.19	0.005	6.89	0.41	0.09	0.71	0.84	0.84	0.115	8.6	1.74	0.004	16.31	2.21	0.08	0.19	0.01	1
0.03	12.19	0.1	0.33	0.06	0.46	0.02	0.3	0.14	0	0.57	0.044	5.71	0.58	0	5.37	1.1	0.06	0.09	0.07	0
0.1	22.85	0.05	0.73	0.07	0.43	0.06	0	0.27	0	0	0.183	8.8	2.18	0.006	1.6	3.24	0.06	0.04	0.07	0
0.72	6.12	0.89	1.8	0.05	5.76	0.32	0.47	0.9	0.16	0.007	0.037	4.64	1.56	0.001	49.7	6.24	0.09	0.47	0.05	0
1.27	24.4	0.97	2.87	0.07	6.34	0.23	1.27	0.21	0	0.67	0.092	6	1.25	0.01	26.77	4.5	0.08	0.25	0.09	0
0.09	22.73	0.02	0.15	0.03	0.03	0.08	0.01	0.66	0	0.7	0.126	8.49	0.3	0.003	3.59	0.33	0	0.06	0	0
1.13	27.76	0.06	4.03	0.11	5.9	0.26	0.47	1.02	0	0	0.02	19.76	1.87	0.007	44.72	2.13	0.07	0.28	0.08	0
0.04	20.56	0.09	3.94	0.05	0.08	0.01	0.72	0.09	0.11	0.003	0.166	17.24	1.1	0.009	0.52	2.63	0.01	0.06	0.09	0
1.86	20.35	0.91	0.71	0.02	4.46	0.69	1.71	1.35	0	0.85	0.1	13.13	1.4	0.005	10.27	3.63	0.01	0.48	0.09	0
0.05	0	0.05	0.98	0.01	0.07	0.07	1.84	1.48	0.13	0.005	0.135	19.01	1.97	0.002	0.25	2.63	0	0.03	0.08	0
0.14	19.14	0.03	1.08	0.002	5.57	0.19	0.68	1.36	0.74	0.74	0.126	1.51	1.01	0.007	3.14	2.21	0.01	0.41	0.08	0
0.06	0.84	0.08	1	0	0.19	0.07	0.02	1.04	0	0	0.043	2.65	2.17	0.002	1.1	3.13	0.08	0.08	0	0
0.09	28.43	0.02	2.83	0.06	0.08	0.09	1.47	1.37	0	0.002	0.197	13.53	1	0.005	0.17	0.25	0.09	0.09	0.03	0
0.1	23.18	0.02	1.82	0.008	0.53	0.8	1.39	0.66	0.7	0.7	0.126	8.49	1.22	0.003	44.84	0.72	0	0.33	0	0
0.05	10.36	0.01	3.29	0.003	0.41	0.39	0.55	1.27	0.61	0.61	0.087	16.37	1.1	0.009	53.02	2.53	0.09	0.37	0.05	0
0.01	12.37	0.07	0.45	0.04	0.7	0.02	1.75	0.19	0	0	0.045	4.63	1.7	0.007	1.7	4.15	0.02	0.02	0.06	0
0.21	15.03	0.03	3.4	0.002	6.71	0.48	1.13	1.43	0.63	0.63	0.152	6.66	1.15	0.005	1.87	5.59	0.05	0.08	0.05	0
0.09	11.93	0.07	0.12	0.07	0.04	0.01	0.56	1.29	0.64	0.64	0.18	3.01	1.2	0.008	7.66	0.7	0.09	0.04	0.09	0
0.05	29.29	0.08	0.08	0.1	0.02	0.04	0.08	0.38	0	0.84	0.064	7.23	0.72	0.005	2.76	0.45	0.07	0.01	0.06	0
0.05	5.5	0.1	0.42	0.04	0.05	0.08	0.28	0.82	0	0	0.197	2.18	2.08	0.007	4.78	2.18	0.05	0.08	0.05	0
0.09	2.2	0	0.45	0.02	0.04	0.02	0.7	0.74	0.95	0.95	0.124	15.58	0.58	0	5.62	0.21	0.08	0.01	0.07	0
0.24	9.1	0.03	1.94	0.001	7.54	0.76	0.27	1.42	0.8	0.8	0.107	14.33	1.95	0.002	19.46	3.91	0.08	0.13	0.04	0
1.09	17.55	0.04	0.69	0.003	1.27	0.38	0.41	0.72	0.25	0.007	0.02	0.29	1.38	0.01	33.17	2.97	0.06	0.1	0.02	1
0.09	24.93	0.04	1.52	0	0.08	0.08	0.02	1.25	0	0.75	0.076	7.49	0.21	0.008	2.83	1.84	0.01	0.02	0.08	0
0.07	14.84	0.04	1.93	0.1	0.18	0.01	1.9	1.1	1	1	0.165	8.02	1.63	0.003	1.56	2.07	0.09	0	0	0
0.04	27.12	0.02	0.51	0.06	0.74	0.07	0.1	0.62	0.8	0	0.093	11.58	1.59	0.004	6.29	0.2	0.03	0.07	0.02	0
2.04	7.45	0.79	2.24	0.02	2.14	0.35	0.04	1.3	0	0.007	0.11	1.22	1.09	0.008	0.88	3.11	0.07	0.13	0.04	0
0.07	19.73	0.07	1.79	0.01	0.02	0.05	0.11	1.22	0.52	0.52	0.176	3.96	0.28	0.006	0.28	0.11	0.01	0.03	0.08	0
2.69	18.34	0.6	0.98	0.03	4.98	0.35	1.98	0.99	0	0	0.099	10.52	1.85	0.001	41.07	4.49	0.06	0.18	0.08	0
0.04	27.81	0.03	3.45	0.008	7.02	0.16	0.75	0.2	0.69	0.69	0.104	5.13	1.31	0.006	39.03	6.3	0.03	0.25	0.08	0
3.88	8.52	0.36	1.03	0.09	5.68	0.22	1.09	0.4	0	0	0.125	7.86	1.44	0.008	58.5	6.5	0.01	0.15	0.04	0
0.06	5.22	0.04	0.2	0.03	0.08	0.03	0.03	0.15	0.09	0	0.165	17.06	0.56	0.003	0.15	0.18	0.01	0.01	0	0
0.87	27.35	0.03	0.96	0.005	7.79	0.65	1.23	0.84	0.33	0.005	0.063	10.96	1.39	0.001	3.43	2.39	0.05	0.26	0.05	1
0.15	20.9	0.04	2.5	0.007	7.05	0.25	1.98	0.51	0.93	0.93	0.152	12.2	1.19	0.008	34.98	1.65	0.04	0.18	0.03	0
0.04	23.22	0.06	0.98	0.06	0.48	0.01	0.26	0.82	0.74	0.74	0.197	18.01	1.3	0.003	3.3	0.98	0.1	0.07	0.07	0
0.06	28.73	0.09	1.6	0.02	0.01	0.08	1.59	1.04	0.08	0.007	0.141	7.02	0.09	0.006	4.66	1	0.05	0.02	0.08	0
0.02	24.6	0.03	2.44	0.005	5.11	0.07	1.45	0.11	0.19	0.004	0.133	13.26	1.68	0.005	58.07	0.18	0	0.36	0.08	0
2.87	23.66	0.57	1.42	0.04	3.41	0.51	1.38	1.26	0	0	0.152	4.42	1.63	0.01	0.91	0.53	0.06	0.09	0.06	0
0.01	12.13	0.05	0.01	0.08	0.24	0.01	0.08	1.46	0	0.004	0.113	9.8	0.27	0.006	0.85	2.34	0.09	0.08	0.07	0
1.5	12.58	0.05	0.73	0.001	5.45	0.7	0.3	0.14	0.57	0.57	0.044	5.51	1.43	0	48.33	5.76	0.06	0.1	0.07	0
0.07	4.64	0.16	4.17	0.09	0.22	0.65	1.47	0.21	0.33	0.005	0.106	2.8	1.26	0.001	47.85	0.06	0.06	0.04	0.05	0
0.05	23.15	0.01	3.68	0.004	4.87	0.35	0.72	0.09	0.11	0.003	0.166	16.54	1	0.009	40.12	4.61	0.01	0.05	0.09	0
2.78	0.51	0.04	2.44	0.006	1.09	0.33	1.94	1.49	0.15	0.001	0.114	9.96	1.84	0.007	28.44	2.54	0.04	0.5	0.09	1
0.08	3.87	0.01	1	0.01	0.11	0.06	1.83	0.79	0	0.7	0.122	2.07	0.18	0.01	1.73	0.57	0.09	0.01	0	0
1.87	0.7	0.95	2.64	0	3.4	0.56	1.78	1.27	0	0.002	0.163	19.1	1.12	0.006	10.5	3.61	0.1	0.25	0.04	0
2.07	24.79	0.21	3.21	0.06	4.9	0.59	1.07	1.04	0.76	0.76	0.043	3.45	2.02	0.002	6.79	3.13	0.08	0.27	0	0
0.1	0.2	0.06	0.17	0.07	0.06	0.04	0.05	0.28	0.7	0	0.096	19.34	1.42	0.007	2.56	4.03	0.03	0.03	0.08	0
0.03	22.17	0	1.63	0.02	0.44	0.01	1.59	0.27	0.88	0.88	0.183	8.23	0.76	0.006	0.15	0.26	0.06	0.02	0.07	0
0.06	22.23	0.04	2.19	0.006	0.26	0.77	1.26	0.04	0.46	0.007	0.046	11.37	1.44	0.007	16.91	2.06	0.1	0.07	0.07	0
0.04	0.68	0.01	1.37	0.004	2.47	0.28	1.05	0.28	0.7	0.7	0.096	18.41	1.42	0.007	24.83	4.03	0.03	0.37	0.08	0
0.06	13.43	0.06	0.65	0.06	0.25	0.04	0.82	1.16	0	0	0.198	7.71	2.06	0.01	0.2	2.84	0.06	0.04	0.04	0
